"","AC013264.2","AGER","BPIFB1","C11orf88","C11orf97","C12orf75","C1orf194","C20orf85","C2orf40","C5orf49","C8orf4","C9orf116","C9orf24","CAPSL","CAV2","CCDC146","CCDC170","CCDC78","CEACAM6","CFAP126","CLIC5","CXCL17","DNAAF1","DYNLRB2","FABP6","FAM183A","FAM216B","FAM92B","GGTLC1","HOPX","ITLN2","LDLRAD1","LRRIQ1","MDK","MORN5","MS4A8","MYL9","PIFO","PIGR","RNASE1","ROPN1L","RPS4Y1","RSPH1","RTKN2","S100A14","SCGB1A1","SFTA2","SFTPC","SNTN","SPOCK2","TFPI","TMEM190","TNNC1","UPK3B","ZMYND10","class"
"LRRIQ1",0,0.00292193010491257,0.00894822172195602,0.354513553458199,0,0.201791652672253,0.372798982618127,0.378502088634594,0,0,0.0366476285048338,0,0.362991464833209,0,0.00158392654614963,0,0,0.34370221740345,0.00999542168235539,0,0.000410979233172042,0.0336511023309181,0.344632652696258,0,0.144443284463488,0,0.332586637528067,0.341237743934994,0.00324539916301295,0.0661168517291798,0.000363580613496268,0,0,0,0,0,0.0017242836104502,0.180091299194633,0,0.0550434997149993,0,0.0129123040281719,0,0.00031657645034684,0.0444546953759651,0.0264317937473923,0.0637609885080076,0,0,3.65355277162208e-05,0.0214655792842037,0,0.00130523272510679,6.99877677297858e-05,0,0.0284465519669655
"MDK",0.00886926386557854,0.0253084384809318,0.00447030552379515,0.0103441196957455,0.00919444234521563,0,0,0.0117533961100055,0.0106952748214994,0,0.000386860927550335,0,0,0,8.8814690144657e-06,0,0,0,0.0968715787307299,0,0.0064151112693772,0,0.00917668587863803,0.00522161473165937,0,0,0.0104058485059669,0.0121858021253002,0.000967695723174144,0.0266021310498746,0.0141669092785247,0.00937322241609927,0,0,0.0096609996070767,0,0.00745706299191741,0.00314228779908672,0,0,0.00906807206777212,0.0011503357042807,0,0.0109836009856646,0.00934063979928152,0,0,0.139462111277672,0.00878356832651298,0.00192145983583098,0.00118663033314358,0.0085052932163013,0.0100974016098553,0.00529050195380294,0.0042522827471592,0.133321537862272
"MORN5",0,0.00376803957242532,0.0116491423336284,0.588034652716143,0,0.203509768353057,0.551055942669631,0.590529908203446,0,0,0.0402075660921253,0.235785916744197,0,0,0.00342867519327939,0.317353684766482,0.332244660485787,0.513257871091845,0.0232669496266401,0.403980539124465,7.42032008252115e-05,0.025918731893207,0,0,0.157896237598125,0,0.55385631728897,0.559838283608856,0.00547035524833846,0.0575133053772995,0.000723186903627507,0,0,0.0096609996070767,0,0,0.00208674294566845,0.202852402010866,0.00248181990179005,0.0507785552747655,0.567382017203449,0.00874781760370696,0.308998405428236,0.00162762631439394,0.0432739292117101,0.0355929961218244,0.0598929808933855,0,0,0.000655690136042257,0.0186980905883793,0.348920636266931,0.00221282104539382,0.000271146956643712,0,0.048819428390397
"MS4A8",0,0.00420638046079807,0.0253612488345609,0.53439347470604,0,0,0,0.582149159006468,0,0,0.0456632399395294,0,0,0,0.00274924938080625,0,0,0,0.0203724374707578,0,6.09629279546763e-05,0.018892999510617,0,0,0.147935755631882,0,0,0,0.00724743893953649,0.0641565437430683,0.0012215622482185,0,0,0,0,0,0.00393687980342412,0.180686897244977,0.000302151138722741,0.0451975287311302,0,0.00775834013267541,0,0.00247412416786659,0.0425668042053952,0.0484400309983317,0.0678483463519966,0,0,0.000914864820975881,0.0231836155226788,0,0.00350048016451076,0.000263494492285011,0,0.0618575758576793
"MYL9",0.00201199025181046,0.0613641499930032,0.00171304338033043,0.00218556131813836,0.00190316929244815,0.0016751329518583,0.0026789120462176,0.00335302120023183,0.00278885697824569,0.00306170866023329,0.0030731888547173,0.00102464235764746,0.00381692309791653,0.00230863939971226,0.0334353681077689,0.00263742514647155,0.00129360470203651,0.00231134128639893,3.66549762094858e-05,0.00208071591801005,0.0336905286354947,0.00683509988593511,0.00220404709826658,0.00257226512326228,0.0026192266423657,0.00211327687501465,0.00205474573054135,0.00220989691397156,0.0110668410301778,0.0211802708952026,0.0532456097013149,0.00193876244548556,0.0017242836104502,0.00745706299191741,0.00208674294566845,0.00393687980342412,0,0.00132833861737546,0.0061799624369384,0.0120222262664755,0.00162402353283606,0.000561660794085491,0.00236997074286505,0.0594332132252957,0.000360859293641062,0.000184595424927589,0.00902692246180951,0.00220233300335219,0.00262780695278374,0.0335296916193558,0.000922458338299501,0.00110383185767424,0.0464908999306505,0.027528501632126,0.00198399945113677,0.00298726184881072
"PIFO",0,0.00216748059595013,0.00343545319299306,0.219593915562042,0.187142337103005,0,0.228478336665009,0.221343138969564,0.18744018541997,0.18636744720785,0.0127103568958737,0,0.218176450238044,0.219860513023989,0.00208368790007526,0,0,0.185110744493333,0.0105114062076603,0.206805653953974,3.03907113234953e-06,0.0110954020309528,0.197281368769052,0,0,0.203937178282358,0.190557508880198,0.203872157073104,0.000905433304483148,0.0327795479043391,0.00244422556592773,0,0.180091299194633,0.00314228779908672,0.202852402010866,0.180686897244977,0.00132833861737546,0,0.00111970566608231,0.0306666343254521,0.199302219266919,0.00373756730937926,0,0.00236720087244312,0.0224828645859731,0.0154118557611719,0.0301227447502834,0.000142612038988056,0.19288287327569,0.000316751012217141,0.00382580689887357,0,0.000907554772126427,0.000965229898490512,0.181370402219733,0.0185109725372636
"PIGR",0.00127702451762964,0.00738417049485425,0.00998315763046357,0,0.00162514804171115,0.0038737827695854,0,0,0.00187919839807676,0.00144772668734251,0.031469850579087,0,0,0,0.00317715435069127,0.0018591107956187,0.0020450253454159,0.00180455770008766,0,0.00299672589747081,0.00823533313641854,0.103527015559501,0.00110865549739044,0.00216367085927196,0,0,0.00240953146506112,0.00277132405136192,0.0112658355612765,0,0.0227789310089459,0.00217755961623439,0,0,0.00248181990179005,0.000302151138722741,0.0061799624369384,0.00111970566608231,0,0.0781952492519433,0.001615209075716,0.00791828368847504,0,0.0289836933939548,0.0440273328322162,0.0138047051962469,0.0440629633739703,0.0748724969376633,0.00236530050371557,0.0236521106358688,0.00721606538500353,0.00215418365265417,0.00385640040570579,0.00984621862974756,0.0028303520274,0
"RNASE1",0.0443419604661231,0.0342446859421672,0.000736520111367651,0.0528198854353473,0.0451583105504768,0.0430443128897012,0.0552636919680008,0.0560471774435902,0.0482282432116766,0.0459511343608708,0.0215953467470779,0.0556248363677078,0.0599890969908811,0.0551130559888527,0.00764666935072858,0.0449001758561806,0.0514802520657089,0.0513092820234746,0,0.0529560917664273,0.00798171567937335,0.0945566525678407,0.049136648467214,0.0466044588269187,0.0675248443769744,0.0538129956589011,0.0489406703873942,0.0521447366522118,0.0410980865211792,0.0905133999879625,0.0161955780249054,0.0469420285093175,0.0550434997149993,0,0.0507785552747655,0.0451975287311302,0.0120222262664755,0.0306666343254521,0.0781952492519433,0,0.0496629719807912,0.00194941221728693,0.0549289329688429,0.0158148336394674,0.0551814528706885,0.0065254866288314,0.195716506749757,0.130466777833954,0.0523478983670816,0.00536313083265742,0.000164632709883116,0.0322530279072239,0.0243026207602718,0.00907233666142271,0.0476191211807508,0
"ROPN1L",0,0.00351341974113925,0.0123997391821709,0.578689316095359,0.516486647930895,0.206775171297482,0.546256433106103,0.572940469214572,0,0,0.036987246933188,0.24037154867831,0,0,0.00322958572193497,0.295939047345076,0.331518794435888,0,0.0210508802453285,0.417276618400273,0.000109516889919279,0.0267698835296401,0,0.382062404923524,0.146477472473191,0,0.529264066511133,0,0.00511913495244411,0.0548603995381553,0.00080808669590915,0,0,0.00906807206777212,0.567382017203449,0,0.00162402353283606,0.199302219266919,0.001615209075716,0.0496629719807912,0,0.00884995272236677,0,0.00160487117226757,0.0418205278993141,0.0343990052131879,0.0576450620703346,0,0.53440043730988,0.00055981776702749,0.018606227774068,0,0.00219963949915635,0.000120662711176142,0,0.0457360077548223
"RPS4Y1",0.0072291138161235,0.00237287085396979,0.000514722460093143,0.00978502743076284,0.00748495819619414,0.0136489753106706,0.0105906199426042,0.00944726539006983,0.00746897929575565,0.0125522739995374,0.00212722239771341,0.00707347175997718,0.00834778840482615,0.00840961963609105,0.0178398709526181,0.00722681408750156,0.00728334890478422,0.00810520704066861,0.0105238980589733,0.00939821082150089,0.00388847255193884,0.00331650342975266,0.00994367278576615,0.00666294265025737,0.0171918761225778,0.00872260965796344,0.00803274586496987,0.00779345990275042,0.0214074319254744,0.0175053638749786,0.00154648419892879,0.00729251434585807,0.0129123040281719,0.0011503357042807,0.00874781760370696,0.00775834013267541,0.000561660794085491,0.00373756730937926,0.00791828368847504,0.00194941221728693,0.00884995272236677,0,0.0112368696548223,0.0052053160029004,6.52529974625559e-05,0.0135085954988057,4.83260222277405e-05,0.0103321533346008,0.00587583616996628,0.00511284706347277,0.025599766890759,0.00525133752830566,0.00243330854891561,0.00104690508720505,0.00667376706790576,0.00296085752985627
"RSPH1",0,0.00515190272352399,0.00650889954570806,0.352847112303836,0,0,0.354065934667914,0.355951018390494,0,0,0.031008979569242,0,0.327105297609151,0.323048629190972,0.0018292228706774,0,0,0,0.00875683738009517,0,6.57087997803622e-05,0.0307538904048187,0.310803123057617,0,0.137909848425608,0.308003902423238,0,0.31359784341181,0.00352883030909493,0.0657136858823922,0.00121014438311819,0,0,0,0.308998405428236,0,0.00236997074286505,0,0,0.0549289329688429,0,0.0112368696548223,0,0.00202183728496078,0.0355572245116237,0.0202309167083826,0.0588095735051126,0,0,2.88805812396442e-06,0.0160038506009561,0,0.00183330940869185,0.000458707037397258,0,0.0209350706803861
"RTKN2",0.00167724728756325,0.146817049111283,0.000452880927526943,0.00219007919740565,0.00155820390886237,0.00089714488627636,0.00172570691465263,0.00219245948345392,0.00187385253117045,0.00159753819728478,0.0264051563849325,0.00162392376576732,0.00132108162113442,0.00162454421479306,0.0498111672639575,0.00100375825314699,0.00234069856844496,0.0017405043931432,0.0024307269820289,0.00144173501664782,0.0786405671581549,0.0342291506842693,0.00186956586457299,0.00147573822745144,0.00124984563007439,0.00134882993478481,0.00186238625574779,0.00196523887141462,0.00416093676527211,0.0128264656942749,0.186822081021533,0.00202487943155245,0.00031657645034684,0.0109836009856646,0.00162762631439394,0.00247412416786659,0.0594332132252957,0.00236720087244312,0.0289836933939548,0.0158148336394674,0.00160487117226757,0.0052053160029004,0.00202183728496078,0,0.00500245588144962,0.00193588479779823,0.00266760642205228,4.83694188350318e-06,0.00258416074860545,0.12505140392677,0.023980722396276,0.000691132825522133,0.0763944227617293,0.0962063347077359,0.000853265902924403,0.0239013193875572
